Day rating;today's comment; previousDayChange; Improvement Idea; Date; Username - table header that is ignored
5;comment19;previousDayChange;improvementIdea;10/11/2020;alexandra.preda@moodproject
1;comment33;previousDayChange251;improvementIdea251;09/11/2020;alexandra.preda@moodproject
4;comment26;previousDayChange252;improvementIdea252;08/11/2020;alexandra.preda@moodproject
5;comment25;previousDayChange253;improvementIdea253;07/11/2020;alexandra.preda@moodproject
2;comment51;previousDayChange;improvementIdea;06/11/2020;alexandra.preda@moodproject
4;comment55;previousDayChange254;improvementIdea254;05/11/2020;alexandra.preda@moodproject
2;comment65;previousDayChange255;improvementIdea255;04/11/2020;alexandra.preda@moodproject
2;comment74;previousDayChange256;improvementIdea256;03/11/2020;alexandra.preda@moodproject
3;comment60;previousDayChange;improvementIdea;02/11/2020;alexandra.preda@moodproject
5;comment81;previousDayChange257;improvementIdea257;02/12/2020;iustin.tarachiu@moodproject
5;comment18;previousDayChange258;improvementIdea258;01/12/2020;iustin.tarachiu@moodproject
4;comment41;previousDayChange259;improvementIdea259;30/11/2020;iustin.tarachiu@moodproject
4;comment27;previousDayChange;improvementIdea;29/11/2020;iustin.tarachiu@moodproject
2;comment70;previousDayChange260;improvementIdea260;28/11/2020;iustin.tarachiu@moodproject
5;comment27;previousDayChange261;improvementIdea261;27/11/2020;iustin.tarachiu@moodproject
5;comment36;previousDayChange262;improvementIdea262;26/11/2020;iustin.tarachiu@moodproject
5;comment3;previousDayChange;improvementIdea;25/11/2020;iustin.tarachiu@moodproject
5;comment63;previousDayChange263;improvementIdea263;24/11/2020;iustin.tarachiu@moodproject
2;comment70;previousDayChange264;improvementIdea264;23/11/2020;iustin.tarachiu@moodproject
4;comment29;previousDayChange265;improvementIdea265;22/11/2020;iustin.tarachiu@moodproject
4;comment21;previousDayChange;improvementIdea;21/11/2020;iustin.tarachiu@moodproject
2;comment99;previousDayChange266;improvementIdea266;20/11/2020;iustin.tarachiu@moodproject
5;comment69;previousDayChange267;improvementIdea267;19/11/2020;iustin.tarachiu@moodproject
4;comment86;previousDayChange268;improvementIdea268;18/11/2020;iustin.tarachiu@moodproject
2;comment86;previousDayChange;improvementIdea;17/11/2020;iustin.tarachiu@moodproject
2;comment63;previousDayChange269;improvementIdea269;16/11/2020;iustin.tarachiu@moodproject
1;comment30;previousDayChange270;improvementIdea270;15/11/2020;iustin.tarachiu@moodproject
5;comment34;previousDayChange271;improvementIdea271;14/11/2020;iustin.tarachiu@moodproject
3;comment46;previousDayChange;improvementIdea;13/11/2020;iustin.tarachiu@moodproject
2;comment22;previousDayChange272;improvementIdea272;12/11/2020;iustin.tarachiu@moodproject
5;comment34;previousDayChange273;improvementIdea273;11/11/2020;iustin.tarachiu@moodproject
3;comment35;previousDayChange274;improvementIdea274;10/11/2020;iustin.tarachiu@moodproject
3;comment38;previousDayChange;improvementIdea;09/11/2020;iustin.tarachiu@moodproject
5;comment98;previousDayChange275;improvementIdea275;08/11/2020;iustin.tarachiu@moodproject
4;comment14;previousDayChange276;improvementIdea276;07/11/2020;iustin.tarachiu@moodproject
5;comment45;previousDayChange277;improvementIdea277;06/11/2020;iustin.tarachiu@moodproject
5;comment88;previousDayChange;improvementIdea;05/11/2020;iustin.tarachiu@moodproject
2;comment61;previousDayChange278;improvementIdea278;04/11/2020;iustin.tarachiu@moodproject
5;comment32;previousDayChange279;improvementIdea279;03/11/2020;iustin.tarachiu@moodproject
2;comment34;previousDayChange280;improvementIdea280;02/11/2020;iustin.tarachiu@moodproject
